"Name","Glottocode"
"Duri (Celebes) (1931)","duri1242"
"Duri (Celebes) (from S. J. Esser)","duri1242"
"Duri (Celebes) (from SIL word list)","duri1242" "Dasener","dusn1237"
"Dusnir","dusn1237"
"Duwet / Guwot","duwe1237"
"Kayoa","east2440"
"Mailoa","east2440" "Ngofagita","east2440" "Ngofakiaha","east2440" "Peleri/Samsuma","east2440" "Soma","east2440" "Tahane","east2440"
"Ceram [various languages of Seram island]","east2466" "Eastern Subanen","east2694"
"Maloh","emba1238"
"Ende","ende1246"
"Endeh (Flores)","ende1246"
"Enggano","engg1245"
"Endékan","enre1239"
"Masenrempulu (Enrekang)","enre1239"
"Epi (system used by a spirit in a story) [exact language unknown but possibly lewo1242]","epii1237"
"Epi [exact language unknown but possibly lewo1242]","epii1237" "Ere","eree1241"
"Ere-Lele-Gele'-Kurui (Ere dialect)","eree1241" "Arkwanas","erok1237"
"Aja - Annip Rizal","fair1238" "Filipino (Tagalog)","fili1244" "Eastern Bontoc","fina1242" "Fordata","ford1242" "Parasiles Bontoc","gada1258" "Wetar","galo1243" "Gana","gana1277" "Gane","gane1237"
"Gane (Gimán)","gane1237" "Saketa","gane1237"
"Wosi","gane1237" "Gapapaiwa","gapa1238"
"Gapapaiwa (Menapi village)","gapa1238" "Gebe (Halmahera)","gebe1237" "(Graget)","geda1237"
"Gedaged (from SIL word list)","geda1237" "Gedaged (from CSQ)","geda1237" "Gedaged","geda1237" "Mitebog","geda1237" "Siar-Rageja","geda1237" "Seram","gese1240"
"Waru","gese1240" "Boianaki","ghay1237"
"Moewehafen (Gimi dialect)","gimi1242" "Moewehafen 

"Yabim","yabe1254"
"Lima (Atamano): Seram","yala1266"
"Yamap","yama1260"
"Yamap","yama1260"
"Jamdena","yamd1240"
"Yami","yami1254"
"Jamna","yamn1237"
"Sobei-groep Jamna","yamn1237"
"Jaur","yaur1239"
"Jaur","yaur1239"
"Yaur A (Irian Jaya)","yaur1239"
"Goni","yere1243"
"Tirax (TiraxBakru, TiraxOrap are dialects without glottocode)","maee1241"
"MaluaBay (abbreviated MalBay. Lembilmbi is possibly a dialect)","malu1245"
"Suru Rabwanga-Mwerani (dialects found in oceanic_numerals Suru Rabbwanga (SuruRab), Suru Naruwa (SuruNar), and SuruLev) ","suru1259"
"Markam (possibly Avava as glottolog indicates or Markham)","katb1237"
"Lamenu","lame1260"
"Hano (same glottocode for Raga Wansa)","hano1246"
"Kuru Kavian (also SuruKav in Oceanic numerals)","suru1260"
"North Coast Malakula (Jericho"," Siviti - possibly Mpotovoro - impot1241 and vaoo1237)","nort3230"
"Seke","seke1241"
"Sowa","sowa1244"
"Lamenu-Lewo (language with several dialects including Ngevin, Jakena, Lepa, Lopalis, Lopika, Maparahu, MateWan, Miapika, Morju, Nalema, Niku, Nivenuhe, Nouvi, Nulnesa, Tamalia and Taolia in OCeanic_numerals - glottolog has two entries)","lame1259
"Bieria (with dialects Oreao, Sara, and Votlo - glottolog lists Vovo - vovo1238 and Nuclear Bieria - nucl1480 as dialects)","bier1246"
"Tasiko (Vilakara and RedStone are possibly dialects Oceanic numerals and vanuatuvoices)","tasi1237"
"Aneityum","anei1239"
"Hawaiian","hawa1245"
"Ra'ivavae","raiv1237"
"Bangsa","bang1376"
"Nivat","niva1239"
"Niviar","nivi1234"
"Umbrul","umbr1254"
"Espiegle's Bay","espi1235"
